Story,Labels,Story Type,Current State,Created at,Accepted At,Description,Estimate
Develop and Deploy OAuth Libraries for Twitter/Facebook,"redmine,redmineID-65,redmine-Viralheat Product - Scrum",feature,accepted,09/29/2011 05:33 pm,01/06/2012 12:15 pm,"",0
Add Linkedin Support in Viralheat,"redmine,redmineID-60,redmine-Viralheat Product - Scrum",feature,unscheduled,09/21/2011 03:56 pm,,"Collection Feedback from users:

I would mostly need something to search through LinkedIn  conversations, so Groups and forums (maybe LinkedIn questions too) for specific keywords, preferably even those in which I'm not a member yet. Also, I'd like to track and analyze my own groups' and company page's acitivity, e.g. a tool providing an industrial sorting of page visitors or group members would be very useful. And of course, the usual things like diagrams how the number of visitors has been changing, how many people have been directed to the webpage from LinkedIn sources, main influencers in given topic, etc.
 

-----",-1
OAuth Library for Google+,"redmine,redmineID-58,redmine-Viralheat Product - Scrum",feature,unscheduled,09/21/2011 03:55 pm,,"",-1
Allow customer support to go through and edit the profiles.,"redmine,redmineID-57,redmine-Viralheat Product - Scrum",chore,unscheduled,09/20/2011 02:33 pm,,"",-1
Reports on Failed Billing profiles,"redmine,redmineID-56,redmine-Viralheat Product - Scrum",chore,unscheduled,09/20/2011 02:33 pm,,"",-1
Reports on Revenue,"redmine,redmineID-55,redmine-Viralheat Product - Scrum",chore,unscheduled,09/20/2011 02:33 pm,,"Need to add accurate reporting on Revenue.
1. Expected Monthly revenue
2. Real monthly revenue from PayPal.
",-1
Report on Customer satisfaction,"redmine,redmineID-54,redmine-Viralheat Product - Scrum",chore,unscheduled,09/20/2011 02:32 pm,,Integration through Zendesk,-1
Re-add Viralheat back to the Wikipedia page for Sentiment analysis,"redmine,redmineID-52,redmine-Viralheat Product - Scrum",chore,unscheduled,09/15/2011 05:11 pm,,"After we have an article about Viralheat, re-add it back to Sentiment Analysis.",-1
Revamp nightly email reports,"redmine,redmineID-48,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:55 pm,,"",-1
Create Statistics Code for Google+,"redmine,redmineID-40,redmine-Viralheat Product - Scrum",chore,unscheduled,09/15/2011 04:37 pm,,"",-1
Create Data Aggregation Code for Google+,"redmine,redmineID-39,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:37 pm,,"",-1
Integrate Google+,"redmine,redmineID-38,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:36 pm,,"",-1
Develop and Deploy OAuth Libraries for External Platforms,"redmine,redmineID-34,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:33 pm,,"",-1
Eliminate MySQL and Switch to Couchbase,"redmine,redmineID-31,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:31 pm,,"",-1
Buy/Install external data aggregation nodes,"redmine,redmineID-30,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:30 pm,,"",-1
Chat with sales/support rep,"redmine,redmineID-27,redmine-Viralheat Product - Scrum",chore,unscheduled,09/15/2011 04:25 pm,,"",-1
Prompt users who churn for feedback,"redmine,redmineID-26,redmine-Viralheat Product - Scrum",chore,unscheduled,09/15/2011 04:24 pm,,"",-1
Report of Churn Rate/Reason,"redmine,redmineID-25,redmine-Viralheat Product - Scrum",chore,unscheduled,09/15/2011 04:23 pm,,"",-1
Report of Conversion Rate,"redmine,redmineID-24,redmine-Viralheat Product - Scrum",chore,unscheduled,09/15/2011 04:23 pm,,"",-1
Internal Billing Reports,"redmine,redmineID-23,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:22 pm,,"",-1
Process Refunds via Interface,"redmine,redmineID-22,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:22 pm,,"",-1
Handle failed billing,"redmine,redmineID-21,redmine-Viralheat Product - Scrum",feature,accepted,09/15/2011 04:22 pm,12/06/2011 02:52 pm,"",0
Quarterly and Yearly Billing,"redmine,redmineID-20,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:21 pm,,"",-1
Internal Administrative Reporting,"redmine,redmineID-18,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:20 pm,,"",-1
Add Additional Landscape Analytics,"redmine,redmineID-9,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:05 pm,,Add Additional landscape analytics to the platform we already support,-1
Additional Data Sources,"redmine,redmineID-7,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:03 pm,,"",-1
Advanced Reporting ,"redmine,redmineID-6,redmine-Viralheat Product - Scrum",chore,unscheduled,09/15/2011 04:02 pm,,"",-1
Additional Email Reports,"redmine,redmineID-5,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:02 pm,,"",-1
Team/Seat management,"redmine,redmineID-4,redmine-Viralheat Product - Scrum",feature,unscheduled,09/15/2011 04:02 pm,,"",-1
Change user interface to inbox-style layout,"redmine,redmineID-1,redmine-Viralheat Product - Scrum",feature,started,09/15/2011 03:56 pm,,"",0
